id,Booking_status,Probability
42100,0,0.051430922
42101,0,0.031479947
42102,0,0.28112158
42103,0,0.22366695
42104,1,0.5309055
42105,0,0.48170134
42106,1,0.53199756
42107,1,0.6709569
42108,0,5.850987e-09
42109,0,0.47658405
42110,1,0.6948756
42111,0,0.29048356
42112,0,0.44084802
42113,0,0.14387926
42114,0,0.30706555
42115,1,0.787746
42116,0,0.043770894
42117,0,0.2791296
42118,1,0.8538064
42119,1,0.8218314
42120,1,0.8765198
42121,0,0.13318649
42122,0,0.009409429
42123,1,0.52500415
42124,1,0.7817136
42125,0,0.0030846277
42126,0,0.0
42127,0,0.008753755
42128,0,0.33514932
42129,1,0.7832525
42130,1,0.8314195
42131,1,0.55718315
42132,0,0.38176498
42133,1,0.95064765
42134,0,0.3538529
42135,0,1.1585685e-17
42136,0,0.040221784
42137,1,0.5100898
42138,1,0.56482154
42139,1,0.81497175
42140,0,0.0023428726
42141,0,0.27797252
42142,1,0.6632509
42143,1,0.86951864
42144,0,0.104234405
42145,1,0.82177967
42146,0,0.0588517
42147,1,0.8535569
42148,1,0.597479
42149,0,0.36597565
42150,0,0.30096322
42151,1,0.68001956
42152,1,0.7305105
42153,0,0.113829926
42154,1,0.5272018
42155,0,0.45973766
42156,0,0.4266838
42157,0,0.024118507
42158,0,0.29119053
42159,1,0.7868313
42160,1,0.6577309
42161,0,1.7659514e-07
42162,0,0.050341748
42163,0,0.031521667
42164,1,0.7686527
42165,0,0.34144384
42166,1,0.7916941
42167,0,2.6700746e-09
42168,1,0.70273197
42169,0,0.43564656
42170,0,0.010732591
42171,0,0.07209336
42172,0,0.38616952
42173,1,0.87462986
42174,0,0.1391953
42175,0,0.34167558
42176,1,0.874418
42177,0,0.17911842
42178,0,0.03994869
42179,1,0.84223264
42180,1,0.7794723
42181,0,0.43250772
42182,1,0.67627096
42183,0,0.48114708
42184,0,0.07684143
42185,0,0.20040451
42186,0,0.20060968
42187,0,0.3910267
42188,0,0.029251937
42189,0,0.17403816
42190,0,0.3233059
42191,0,0.3493306
42192,0,0.26607
42193,0,0.2607943
42194,0,0.31365302
42195,1,0.8518956
42196,1,0.8432014
42197,0,0.44029453
42198,1,0.6404882
42199,0,0.48318923
42200,1,0.58584046
42201,1,0.60269076
42202,0,0.4831224
42203,0,0.34008655
42204,1,0.75415
42205,0,0.22379753
42206,0,0.01104158
42207,1,0.7242837
42208,0,0.039199714
42209,0,0.36889935
42210,0,0.27183586
42211,0,0.2567863
42212,0,0.33313158
42213,1,0.8014212
42214,1,0.78703207
42215,0,0.45103166
42216,1,0.5628856
42217,0,0.17578514
42218,0,0.027438143
42219,0,0.11663379
42220,0,0.46877494
42221,1,0.61160725
42222,0,0.46143743
42223,0,0.14668737
42224,1,0.8683729
42225,1,0.72762525
42226,1,0.8478496
42227,0,0.058090083
42228,0,0.49037153
42229,0,0.078314275
42230,0,0.3234418
42231,1,0.6994799
42232,1,0.8048779
42233,0,0.07443261
42234,1,0.617651
42235,0,0.13415812
42236,0,0.04991119
42237,1,0.75625134
42238,0,0.2744973
42239,0,0.15898374
42240,1,0.89402664
42241,0,0.42380303
42242,0,0.13059746
42243,1,0.8849276
42244,0,0.31185153
42245,1,0.65839183
42246,1,0.8794995
42247,1,0.78518116
42248,0,0.43165365
42249,1,0.8468882
42250,0,0.45923787
42251,0,0.23723638
42252,1,0.7637242
42253,1,0.6974601
42254,0,0.08749224
42255,0,0.14359783
42256,1,0.57811403
42257,1,0.6324619
42258,0,0.40372583
42259,1,0.70227605
42260,1,0.7361038
42261,1,0.6163824
42262,1,0.8205335
42263,1,0.915942
42264,0,0.07762131
42265,1,0.7627223
42266,0,0.03747112
42267,0,0.21135157
42268,1,0.8036949
42269,0,0.08961186
42270,1,0.82746404
42271,1,0.73677725
42272,0,0.07726953
42273,0,0.15701757
42274,1,0.81574905
42275,0,0.26947358
42276,0,0.15342967
42277,0,0.08348835
42278,0,0.040424485
42279,0,0.2857014
42280,0,0.33323595
42281,0,0.0014756029
42282,1,0.5669146
42283,0,0.120946504
42284,0,0.48001185
42285,0,0.038971204
42286,0,0.075191274
42287,1,0.6926805
42288,0,0.335587
42289,1,0.6503813
42290,0,0.034665205
42291,1,0.8546642
42292,0,0.12187012
42293,1,0.8091897
42294,1,0.95174766
42295,0,0.19085681
42296,0,0.03953591
42297,0,0.24517539
42298,0,0.070966065
42299,1,0.80052245
42300,0,0.20304021
42301,0,0.43659452
42302,0,0.2551311
42303,0,0.2594947
42304,0,0.13248473
42305,0,0.30072957
42306,0,0.18207754
42307,0,0.053657763
42308,0,0.25297335
42309,0,0.13875936
42310,0,0.4476882
42311,1,0.6240762
42312,0,0.06384006
42313,1,0.87090427
42314,1,0.6313503
42315,0,0.20925215
42316,1,0.6269654
42317,0,0.1321608
42318,0,0.4004253
42319,0,0.009594434
42320,0,0.32665858
42321,0,0.43897673
42322,1,0.77911866
42323,0,0.035087112
42324,1,0.6793294
42325,0,0.045874674
42326,1,0.52116627
42327,0,0.029970642
42328,0,0.10127503
42329,0,0.046021245
42330,1,0.7448389
42331,0,0.44026423
42332,0,0.45629686
42333,1,0.6900611
42334,0,0.027030218
42335,1,0.72846985
42336,0,0.107585005
42337,1,0.69305867
42338,0,0.2867757
42339,0,0.009687329
42340,0,0.073354445
42341,1,0.60247105
42342,1,0.82048947
42343,0,0.40436774
42344,0,0.33921507
42345,0,0.021640228
42346,1,0.97511727
42347,1,0.78015137
42348,1,0.71703565
42349,0,0.0450844
42350,0,0.41154912
42351,0,0.07845517
42352,1,0.7526152
42353,1,0.74753547
42354,0,0.09793476
42355,0,0.15645273
42356,1,0.5789901
42357,0,0.00017856307
42358,1,0.81424695
42359,0,0.110088095
42360,1,0.77727413
42361,0,0.15733138
42362,1,0.6937984
42363,0,0.21403675
42364,0,0.1945336
42365,0,0.19619532
42366,0,0.2378187
42367,1,0.73038644
42368,0,0.39040262
42369,1,0.73458844
42370,0,0.42648658
42371,0,0.052171275
42372,0,0.42999303
42373,1,0.8721984
42374,0,0.37820175
42375,0,0.31497812
42376,0,0.042570505
42377,1,0.8717415
42378,1,0.63544774
42379,0,0.18828717
42380,0,0.022134308
42381,0,0.4414651
42382,1,0.6028034
42383,1,0.8925223
42384,0,0.25655416
42385,0,0.007959921
42386,1,0.86404496
42387,1,0.68701875
42388,0,0.06014136
42389,0,0.016338388
42390,1,0.8197039
42391,0,0.23767027
42392,0,0.047274876
42393,0,0.15416677
42394,0,0.38674212
42395,1,0.51681924
42396,0,0.044518825
42397,1,0.9080727
42398,0,0.05963366
42399,1,0.79463094
42400,1,0.5898461
42401,0,0.3163652
42402,1,0.5915572
42403,0,0.3130353
42404,0,0.31182066
42405,0,0.2592523
42406,0,0.46582848
42407,0,0.11201446
42408,0,0.17133673
42409,0,0.43417308
42410,1,0.53620434
42411,0,2.7103325e-13
42412,1,0.8432228
42413,1,0.6141561
42414,1,0.6620501
42415,0,0.18283494
42416,1,0.81694716
42417,0,0.16980341
42418,0,0.42074716
42419,0,0.29611146
42420,0,0.14266476
42421,0,0.030561157
42422,0,0.48121062
42423,1,0.6993205
42424,1,0.7634501
42425,0,0.3367176
42426,0,0.47729757
42427,0,0.058360748
42428,0,0.2850261
42429,1,0.9513818
42430,0,0.3353125
42431,1,0.712043
42432,1,0.880749
42433,0,0.22709806
42434,0,3.4070877e-06
42435,0,0.069118865
42436,0,0.45858896
42437,0,0.21214665
42438,0,0.3239486
42439,1,0.9564483
42440,0,0.19318333
42441,1,0.90219206
42442,0,0.15897308
42443,0,0.2582291
42444,0,0.039464395
42445,0,0.049080532
42446,1,0.9261884
42447,0,0.15217067
42448,0,0.041589305
42449,0,0.14054129
42450,0,0.24447298
42451,0,0.1664878
42452,0,0.021982387
42453,0,0.13437536
42454,0,0.144576
42455,0,0.27877536
42456,0,0.26217565
42457,0,0.028845843
42458,0,0.42330012
42459,0,0.3311902
42460,1,0.7020192
42461,0,0.13767742
42462,1,0.64753765
42463,0,0.22421825
42464,1,0.64195234
42465,0,0.1523305
42466,1,0.75232667
42467,0,0.31363055
42468,0,0.3538437
42469,0,0.062096596
42470,0,0.17044191
42471,1,0.5259342
42472,0,0.3188737
42473,0,0.058559474
42474,1,0.5646934
42475,0,0.07226265
42476,0,0.00044435708
42477,0,0.42528394
42478,1,0.8227523
42479,1,0.7475812
42480,0,0.0076739495
42481,0,0.2110043
42482,0,0.061391454
42483,0,0.39522046
42484,0,0.17455724
42485,0,0.00030662114
42486,1,0.7202204
42487,1,0.5202703
42488,0,0.0006674853
42489,0,0.19635794
42490,0,0.06884032
42491,1,0.7155207
42492,0,0.46402866
42493,0,0.20977032
42494,0,0.33356377
42495,0,0.38502905
42496,0,0.44582224
42497,0,0.012568955
42498,0,0.054618724
42499,0,0.06422404
42500,0,0.16625538
42501,0,0.4633672
42502,1,0.52163017
42503,1,0.86287373
42504,0,0.036088694
42505,0,2.5346338e-09
42506,1,0.51312226
42507,0,0.012678725
42508,0,0.24932863
42509,0,0.26819798
42510,1,0.5736089
42511,0,0.43262923
42512,0,0.3108592
42513,0,0.018246159
42514,0,0.03346164
42515,1,0.6387281
42516,1,0.5873261
42517,1,0.52069104
42518,1,0.59627223
42519,0,0.31305778
42520,1,0.5822129
42521,0,0.015823018
42522,0,0.2172653
42523,0,0.39130455
42524,0,0.45746565
42525,1,0.7528672
42526,1,0.78408664
42527,1,0.5126157
42528,1,0.5010201
42529,0,0.09431478
42530,1,0.59597844
42531,1,0.84962726
42532,0,0.16912924
42533,0,0.41529238
42534,0,0.115283854
42535,1,0.8933887
42536,0,0.14459987
42537,0,0.08702953
42538,1,0.73223954
42539,0,0.3220349
42540,0,0.2761778
42541,0,0.21198043
42542,0,0.13068862
42543,1,0.53105295
42544,0,0.028282043
42545,1,0.83250743
42546,0,0.025944142
42547,0,0.3357824
42548,1,0.51133925
42549,0,0.27183053
42550,1,0.51481897
42551,1,0.8594621
42552,1,0.67315245
42553,0,0.0060900273
42554,0,0.16539343
42555,0,0.40521064
42556,0,0.24812208
42557,1,0.5679737
42558,0,0.3360501
42559,0,0.09051195
42560,0,0.26180634
42561,1,0.68031746
42562,1,0.8165214
42563,1,0.7460328
42564,0,0.42077973
42565,0,0.47163257
42566,1,0.9369087
42567,0,0.1612224
42568,0,0.014166491
42569,0,0.16677925
42570,0,0.45611173
42571,0,2.8628681e-05
42572,1,0.50998384
42573,0,0.31403416
42574,1,0.51942813
42575,1,0.616534
42576,0,0.2433909
42577,0,0.13865314
42578,0,0.015962029
42579,0,0.031158745
42580,0,4.0447654e-21
42581,1,0.8596111
42582,0,0.090609305
42583,0,0.030398138
42584,0,0.029680206
42585,0,0.12881382
42586,0,3.7577088e-06
42587,1,0.70107055
42588,0,0.42999303
42589,1,0.7052848
42590,1,0.8389076
42591,0,0.15437374
42592,0,0.16480957
42593,0,0.34749132
42594,0,0.025429638
42595,0,0.40562323
42596,0,0.3812714
42597,0,0.12448786
42598,0,0.3132239
42599,0,0.37585798
42600,0,0.0010152071
42601,0,0.3292147
42602,1,0.60214895
42603,0,0.17286037
42604,1,0.82670456
42605,0,0.42061353
42606,1,0.76404476
42607,0,0.40238327
42608,0,0.21007724
42609,0,3.825846e-06
42610,1,0.63193846
42611,1,0.6893737
42612,0,0.038924824
42613,0,0.050459642
42614,0,0.020656008
42615,0,0.2735749
42616,1,0.8152701
42617,0,0.41669238
42618,1,0.5717807
42619,0,0.21489228
42620,1,0.7218027
42621,1,0.5645866
42622,0,0.4187499
